crew, tier, rarity, CMD_core, CMD_min, CMD_max, SCI_core, SCI_min, SCI_max, SEC_core, SEC_min, SEC_max, ENG_core, ENG_min, ENG_max, DIP_core, DIP_min, DIP_max, MED_core, MED_min, MED_max, V_CMD_SCI, V_CMD_SEC, V_CMD_ENG, V_CMD_DIP, V_CMD_MED, V_SCI_SEC, V_SCI_ENG, V_SCI_DIP, V_SCI_MED, V_SEC_ENG, V_SEC_DIP, V_SEC_MED, V_ENG_DIP, V_ENG_MED, V_DIP_MED, G_CMD_SCI, G_CMD_SEC, G_CMD_ENG, G_CMD_DIP, G_CMD_MED, G_SCI_SEC, G_SCI_ENG, G_SCI_DIP, G_SCI_MED, G_SEC_ENG, G_SEC_DIP, G_SEC_MED, G_ENG_DIP, G_ENG_MED, G_DIP_MED, voyage_rank, gauntlet_rank, traits, hidden_traits, action_name, action_bonus_type, action_bonus_amount, action_initial_cooldown, action_duration, action_cooldown, bonus_ability, trigger, uses_per_battle, penalty_type, penalty_amount, accuracy, crit_bonus, crit_chance, evasion, charge_phases, short_name, image_name, symbol, shuttle_rank, collections_rank, ship_rank, overall_rank, stat_collections, crew_collections, vanity_collections, potential_collections
"Tribble Quark",0,5, 0,0,0,1012,118,249,0,0,0,0,0,0,1249,209,429,508,110,241,760,0,0,671,1011,694,547,82,101,0,629,938,423,710,71,1062,0,0,704,888,981,731,140,185,0,600,847,432,600,89,562,581,"Ferengi, Scoundrel, Merchant, Gambler, Civilian, Bartender, Tribbled","nonhuman, male, organic, ds9, quark, crew_max_rarity_5","We Could Build Another Station",0, 10, 6, 6, 6, , , , 1, 3, 400, 240, 195, 400, false,"Quark",crew_portraits_cm_quark_tribble_sm.png,quark_tribble_crew, 85.5258, 20.935, 14.7318, 77.5938, 4, 0, 0, 37.3781
"Kal'Hyah Bashir",0,5, 988,136,254,0,0,0,1281,223,426,0,0,0,0,0,0,488,98,208,791,104,731,1019,67,338,0,0,789,365,572,34,0,811,1082,999,200,936,1177,193,348,0,0,683,382,539,72,0,687,993,595,553,"Human, Starfleet, Federation, Klingon, Spiritual, Physician, Engineered","nonhuman, male, organic, ds9, bashir, crew_max_rarity_5","I’m Gonna Kill Worf",0, 10, 8, 6, 8, , , , , , 450, 165, 140, 487, false,"Bashir",crew_portraits_cm_bashir_kalhyah_sm.png,bashir_kalhyah_crew, 84.7691, 24.3902, 19.7516, 79.6306, 3, 0, 0, 21.1268
"Henry Starling",0,4, 0,0,0,546,113,262,0,0,0,330,99,207,828,198,387,0,0,0,1163,0,1407,1079,0,1095,539,305,651,1297,1103,0,401,915,703,1039,0,1147,828,0,961,270,164,580,1055,786,0,135,686,461,1370,879,"Human, Civilian, Crafty, Villain, Cultural Figure, Maverick, Resourceful","male, organic, voy, starling, crew_max_rarity_4","Captain, You've Got Some Cojones.",1, 5, 10, 10, 10, 8, 4, , , , 450, 200, 110, 550, false,"Starling",crew_portraits_cm_starling_henry_sm.png,starling_henry_crew, 52.4447, 53.8618, 17.457, 57.6318, 4, 0, 0, 20.2167
"Luma Rahl Kira",0,5, 516,71,171,0,0,0,1274,239,487,0,0,0,1006,168,299,0,0,0,1334,233,1277,410,1131,291,0,745,0,322,30,186,685,0,558,1378,242,1328,565,1176,260,0,852,0,289,64,183,788,0,644,485,355,"Bajoran, Undercover Operative, Caregiver, Temporal Agent, Saboteur, Veteran","nonhuman, female, organic, ds9, kira, crew_max_rarity_5","We All Have Scars",1, 8, 8, 5, 8, , , , , , 540, 170, 130, 375, false,"Kira",crew_portraits_cm_kira_comfort_sm.png,kira_comfort_crew, 86.0691, 45.122, 16.6347, 80.4501, 6, 0, 0, 0
"Kal'Hyah O'Brien",0,4, 363,61,121,0,0,0,881,110,230,655,106,214,0,0,0,0,0,0,1528,653,628,1609,1318,874,776,0,0,203,1151,663,1083,593,0,1531,794,663,1598,1311,1040,806,0,0,371,1312,862,1146,656,0,1373,1575,"Human, Starfleet, Federation, Spiritual, Klingon","male, organic, ds9, obrien, crew_max_rarity_4","Kill. Worf.",0, 8, 6, 8, 10, , , , 2, 3, 415, 225, 80, 490, false,"O'Brien",crew_portraits_cm_obrien_kalhyah_sm.png,obrien_kalhyah_crew, 58.1878, 8.7398, 16.069, 44.5614, 1, 0, 0, 21.1268
"Resigned Picard",0,4, 580,130,316,373,82,176,0,0,0,0,0,0,724,183,406,0,0,0,645,1131,1041,456,880,1435,1126,546,896,0,1184,0,958,0,781,329,969,833,194,694,1280,1000,243,788,0,773,0,564,0,452,1388,804,"Federation, Human, Civilian, Desperate, Cultural Figure","male, organic, pic, picard, crew_max_rarity_4","They’re Just Reacting!",2, 9, 8, 8, 8, , , , 1, 2, 425, 200, 190, 390, false,"Picard",crew_portraits_cm_picard_resigned_sm.png,picard_resigned_crew, 51.5134, 13.0081, 11.8949, 46.8079, 1, 0, 0, 21.6685
"Captain Picard Day Picard",0,5, 1299,162,328,982,122,237,0,0,0,0,0,0,526,56,109,0,0,0,46,633,408,278,265,775,595,331,453,0,1501,0,1362,0,1146,171,844,686,644,545,1016,747,729,601,0,1647,0,1515,0,1300,770,1371,"Federation, Starfleet, Human, Diplomat, Inspiring, Astrophysicist, Exoarchaeology, Tactician, Casual, Caregiver, Festive, Educator","male, organic, tng, picard, crew_max_rarity_5","I'm a Role Model",2, 10, 8, 6, 8, , , , , , 435, 200, 170, 425, false,"Picard",crew_portraits_cm_picard_day_sm.png,picard_day_crew, 86.0691, 54.6748, 14.4688, 76.6309, 6, 0, 0, 21.0401
"Desert Ben Sisko",0,5, 1076,256,578,0,0,0,0,0,0,0,0,0,950,182,407,446,138,286,472,659,441,125,32,0,0,743,764,0,918,989,683,781,115,179,371,165,25,9,0,0,616,541,0,772,722,563,505,85,688,91,"Human, Federation, Starfleet, Bajoran, Cultural Figure, Desperate, Spiritual","male, organic, ds9, sisko, crew_max_rarity_5","I Know It’s Out There Someplace",2, 10, 12, 10, 10, , , , , , 300, 120, 40, 400, false,"Sisko",crew_portraits_cm_sisko_desert_sm.png,sisko_desert_crew, 75.9216, 19.3089, 14.1367, 80.3114, 2, 0, 0, 21.1268
"Displaced Molly O'Brien",0,4, 654,106,241,0,0,0,891,154,316,0,0,0,232,31,75,0,0,0,1074,342,1002,1085,844,816,0,1572,0,763,718,608,1591,0,1365,1103,396,1045,1045,897,725,0,1566,0,695,780,570,1582,0,1355,1451,1502,"Human, Civilian, Desperate, Hunter, Primal, Survivalist, Federation, Displaced","female, organic, ds9, obrien_molly, crew_max_rarity_4","Starry Stars",1, 7, 8, 6, 8, , , , , , 445, 200, 143, 415, false,"Molly",crew_portraits_cm_obrien_molly_sm.png,obrien_molly_crew, 54.579, 21.9512, 14.1204, 44.6254, 3, 0, 0, 19.0899
"Crashed Tuvok",0,4, 641,76,178,0,0,0,0,0,0,387,73,145,868,94,203,0,0,0,1127,1160,634,476,918,0,1140,982,0,1279,1175,0,469,903,775,1343,1328,715,869,1149,0,1111,1243,0,1262,1405,0,676,919,1035,1409,1650,"Vulcan, Starfleet, Federation, Telepath, Caregiver, Counselor, Resourceful, Jury Rigger","nonhuman, male, organic, voy, tuvok, crew_max_rarity_4","You Must be Patient",2, 5, 15, 10, 15, 2, 0, , , , 450, 200, 119, 425, false,"Tuvok",crew_portraits_cm_tuvok_crashed_sm.png,tuvok_crashed_crew, 58.0908, 54.6748, 60.4775, 57.0541, 5, 0, 0, 38.2882
"Desert Jake Sisko",0,4, 0,0,0,0,0,0,0,0,0,0,0,0,920,146,302,631,99,248,0,0,0,1054,862,0,0,884,606,0,1081,796,837,591,103,0,0,0,1104,902,0,0,944,609,0,1123,857,882,614,179,1599,1635,"Human, Federation, Civilian, Survivalist, Caregiver","male, organic, ds9, jake, crew_max_rarity_4","I’ve Got You",2, 9, 8, 5, 10, , , , , , 500, 175, 180, 450, false,"Jake",crew_portraits_cm_jsisko_desert_sm.png,jsisko_desert_crew, 47.9821, 22.9675, 5.1076, 38.266, 2, 0, 0, 0
"Agents Dulmur and Lucsly",0,4, 0,0,0,941,71,189,653,108,253,0,0,0,406,38,92,0,0,0,909,1102,0,1577,0,137,662,514,506,929,856,779,1466,0,1267,1334,1101,0,1646,0,417,985,1044,774,935,934,812,1556,0,1331,1309,1659,"Temporal Agent, Investigator, Tribbled, Starfleet, Federation, Human","male, organic, ds9, agents, crew_max_rarity_4","Is That A Joke?",2, 7, 10, 8, 10, 8, 4, , , , 625, 100, 200, 290, false,"Agents",crew_portraits_cm_dulmur_lucsly_sm.png,temporal_agents_crew, 61.6997, 5.8943, 18.1807, 43.8423, 2, 0, 0, 19.5233
"Qowat Milat G. Burnham",0,5, 0,0,0,501,87,173,981,152,283,0,0,0,1247,199,411,0,0,0,1345,840,0,682,0,154,1036,181,816,648,52,484,442,0,345,1337,990,0,771,0,293,986,223,777,819,133,698,491,0,385,670,773,"Qowat Milat, Astrophysicist, Human, Duelist, Federation, Spiritual, Displaced","female, organic, dsc, gburnham, crew_max_rarity_5","I Am Your Advocate",0, 10, 8, 6, 8, , , , , , 440, 200, 164, 375, false,"Burnham",crew_portraits_cm_gburnham_qowat_milat_sm.png,dsc_gburnham_qowat_milat_crew, 84.2064, 15.0407, 19.7511, 76.1697, 2, 0, 0, 42.1668
"Countess Regina Bartholomew",0,5, 0,0,0,495,100,234,0,0,0,1045,110,253,1303,166,349,0,0,0,1292,0,667,675,0,1233,163,166,759,628,637,0,52,328,336,1147,0,990,908,0,1059,252,239,642,937,887,0,143,573,535,582,970,"Human, Hologram, Resourceful, Romantic, Communicator","female, artificial_life, tng, regina_bartholomew, crew_max_rarity_5","Are You Suggesting That It's Beyond My Comprehension?",2, 8, 10, 6, 12, 7, 2, , , , 420, 125, 185, 550, false,"Regina",crew_portraits_cm_countess_regina_bartholomew_sm.png,regina_bartholomew_countess_crew, 87.3108, 44.3089, 17.3832, 79.0703, 2, 0, 0, 41.8635
"Investigator Laris",0,4, 0,0,0,745,174,393,567,106,236,0,0,0,0,0,0,307,87,266,944,1186,0,0,1263,168,684,978,256,1007,1346,458,0,910,1256,619,1144,0,0,883,128,420,653,83,984,1308,202,0,592,897,1438,869,"Romulan, Caregiver, Civilian, Investigator, Veteran, Tal Shiar","female, nonhuman, organic, pic, laris, crew_max_rarity_4","That’s What We Wanted You to Think",1, 7, 5, 5, 6, , , , 0, 2, 445, 200, 95, 375, false,"Laris",crew_portraits_cm_laris_sm.png,laris_investigator_crew, 50.0194, 25, 15.4443, 49.5954, 3, 0, 0, 41.1918
"Little Boy Blue Wesley",0,5, 0,0,0,502,105,201,0,0,0,1039,103,219,1251,237,440,0,0,0,1302,0,707,653,0,1251,172,164,772,664,604,0,53,347,314,1207,0,1102,622,0,1139,322,152,688,1021,514,0,97,649,270,589,787,"Prodigy, Federation, Starfleet, Hologram, Explorer, Human","male, organic, tng, wesley, crew_max_rarity_5","What Do You Want?",1, 8, 8, 8, 8, , , , , , 515, 100, 145, 400, false,"Wesley",crew_portraits_cm_wesley_blue_boy_sm.png,wesley_blue_boy_crew, 85.7198, 13.2114, 16.7603, 76.5796, 2, 0, 0, 21.3651
"Cellist Adira",0,4, 0,0,0,620,104,247,0,0,0,0,0,0,875,158,286,331,84,178,1099,0,0,1090,1299,1021,786,284,384,0,1120,1172,890,937,341,1114,0,0,1110,1118,1032,768,292,271,0,1139,1028,897,798,239,1338,1244,"Human, Trill, Starfleet, Federation, Prodigy, Musician, Romantic","organic, adira, dsc, feb2023, crew_max_rarity_4","How Are You Here?",1, 8, 6, 6, 8, , , , , , 465, 135, 200, 475, false,"Adira",crew_portraits_cm_adira_cellist_sm.png,dsc_adira_cellist_crew, 56.4028, 26.4228, 9.8509, 49.2269, 4, 0, 0, 0
"Balok",0,5, 847,287,836,0,0,0,379,221,445,0,0,0,762,261,632,0,0,0,509,268,476,158,329,1136,0,823,0,1051,278,907,767,0,635,36,10,28,2,17,328,0,198,0,362,9,222,136,0,127,802,6,"Civilian, Crafty, Explorer, Interrogator, Pilot, Tactician, Undercover Operative","gauntlet_jackpot, nonhuman, male, organic, tos, balok, exclusive_gauntlet, crew_max_rarity_5","There is no Escape",2, 7, 8, 10, 14, 4, 1, , , , 65, 130, 55, 345, false,"Balok",crew_portraits_cm_balok_sm.png,balok_crew, 61.0206, 21.3415, 30.2494, 79.6582, 3, 0, 0, 40.13
"John Frederick Paxton",0,5, 1240,242,424,0,0,0,474,128,274,0,0,0,898,189,384,0,0,0,418,239,391,122,243,1207,0,839,0,1112,298,957,789,0,651,372,163,348,59,211,902,0,639,0,863,176,746,589,0,472,635,171,"Criminal, Gambler, Maverick, Survivalist, Villain, Civilian, Human","male, organic, ent, paxton, crew_max_rarity_5","A Bloodbath is What You’ll Get",0, 9, 8, 8, 8, , , , , , 475, 170, 155, 500, false,"Paxton",crew_portraits_cm_paxton_john_sm.png,paxton_john_crew, 80.1125, 44.3089, 19.6488, 78.8135, 5, 0, 0, 20.2167
"Musketeer Data",0,4, 622,141,306,0,0,0,796,191,380,0,0,0,0,0,0,0,0,0,1055,349,985,1224,820,861,0,0,0,806,1132,649,0,0,0,888,212,827,1074,687,534,0,0,0,528,789,397,0,0,0,1615,1327,"Android, Hologram, Duelist, Hero, Inspiring, Tactician, Maverick, Veteran","nonhuman, male, tng, artificial_life, data, crew_max_rarity_4","It Ends Here",2, 9, 8, 5, 10, , , , , , 515, 160, 162, 400, false,"Data",crew_portraits_cm_data_musketeer_sm.png,data_musketeer_crew, 43.5196, 39.8374, 11.7071, 46.0507, 4, 0, 0, 62.9469
"Regency Riker",0,5, 1001,230,579,0,0,0,0,0,0,0,0,0,1136,302,589,0,0,0,506,689,470,63,326,0,0,497,0,0,623,0,419,0,326,196,410,185,5,109,0,0,200,0,0,251,0,137,0,130,941,138,"Human, Federation, Starfleet, Costumed, Romantic, Maverick","male, organic, tng, riker, crew_max_rarity_5","What Is This All About?",2, 10, 8, 8, 8, , , , , , 575, 30, 60, 500, false,"Riker",crew_portraits_cm_riker_top_hat_sm.png,riker_top_hat_crew, 65.5413, 24.7967, 13.463, 68.0277, 2, 0, 0, 0
"Captain Saru",0,5, 1214,183,526,1034,87,197,0,0,0,0,0,0,530,46,98,0,0,0,40,621,395,271,247,752,568,327,436,0,1503,0,1367,0,1152,82,515,293,353,179,1211,916,990,734,0,1664,0,1543,0,1324,728,1054,"Kelpien, Federation, Starfleet, Exobiology, Inspiring, Displaced","male, nonhuman, organic, dsc, saru, crew_max_rarity_5","Well, Hit It Then",2, 10, 8, 8, 10, , , , , , 440, 200, 165, 425, false,"Saru",crew_portraits_cm_saru_captain_sm.png,dsc_saru_captain_crew, 85.2348, 35.5691, 14.4902, 73.5653, 4, 0, 0, 0
"Alternate Harry Kim",0,4, 0,0,0,531,155,309,365,100,226,784,137,324,0,0,0,0,0,0,1134,1396,893,0,0,611,193,1121,635,418,1546,1099,966,492,0,843,1171,765,0,0,206,104,864,463,245,1325,883,789,384,0,1399,890,"Federation, Human, Starfleet, Musician, Desperate, Survivalist","male, organic, voy, kim, crew_max_rarity_4","Goodbye, Doc",1, 8, 8, 6, 10, , , , 2, 1, 450, 150, 145, 450, false,"Kim",crew_portraits_cm_kim_alternate_sm.png,kim_alternate_crew, 51.5134, 26.8293, 16.0893, 49.8745, 3, 0, 0, 0
"Acting Captain Tilly",0,4, 866,104,210,379,48,115,610,96,207,0,0,0,0,0,0,0,0,0,471,419,883,1137,710,654,1191,1485,950,982,1325,838,0,0,0,783,644,1116,1316,968,744,1230,1512,978,1053,1370,934,0,0,0,1437,1639,"Human, Desperate, Federation, Starfleet, Inspiring, Displaced","female, organic, dsc, tilly, crew_max_rarity_4","Finish the Mission",0, 9, 8, 5, 8, , , , , , 200, 200, 177, 440, false,"Tilly",crew_portraits_cm_tilly_acting_captain_sm.png,dsc_tilly_acting_captain_crew, 56.9073, 28.6585, 16.4204, 46.2508, 3, 0, 0, 0
"Tribble McCoy",0,5, 0,0,0,1267,185,364,0,0,0,0,0,0,498,34,91,1054,162,346,432,0,0,1502,406,410,327,193,14,0,1532,372,1406,255,120,643,0,0,1659,498,584,435,452,47,0,1677,491,1567,301,317,609,1013,"Human, Starfleet, Federation, Physician, Exobiology, Tribbled","male, organic, tos, mccoy, crew_max_rarity_5","They Are Born Pregnant",1, 9, 4, 12, 12, 2, 4, , , , 350, , 105, , true,"McCoy",crew_portraits_cm_mccoy_tribble_sm.png,mccoy_tribble_crew, 87.175, 20.7317, 19.3806, 77.1421, 3, 0, 0, 0
"Pernaia Prime T'Pol",0,5, 0,0,0,986,128,284,1286,194,363,0,0,0,541,76,145,0,0,0,767,609,0,1418,0,31,553,304,424,399,148,254,1274,0,1062,973,748,0,1532,0,97,677,517,547,551,362,411,1423,0,1207,624,998,"Vulcan, Starfleet, Astrophysicist, Telepath, Resourceful, Crafty, Vengeful","nonhuman, female, organic, ent, tpol, crew_max_rarity_5","I Killed Him",0, 10, 8, 8, 10, , , , , , 500, 200, 205, 400, false,"T'Pol",crew_portraits_cm_tpol_pernaia_prime_sm.png,tpol_pernaia_prime_crew, 86.787, 42.8862, 19.9599, 80.2422, 4, 0, 0, 39.415
"Tribble Uhura",0,5, 1031,82,214,0,0,0,552,73,143,0,0,0,1309,196,411,0,0,0,792,381,734,109,569,1226,0,447,0,1132,135,971,374,0,285,1220,807,1186,295,1029,1393,0,568,0,1265,313,1127,499,0,392,563,1085,"Human, Federation, Starfleet, Communicator, Resourceful, Tribbled, Playful","female, organic, tos, uhura, crew_max_rarity_5","Tribble Had Other Plans",2, 10, 10, 8, 10, 0, 1, 2, , , 475, , 158, 375, false,"Uhura",crew_portraits_cm_uhura_tribble_sm.png,uhura_tribble_crew, 88.8242, 52.6423, 23.2791, 77.5399, 4, 0, 0, 0
"U.S.S. Cabot Janitor",0,2, 0,0,0,155,25,63,317,67,168,254,37,92,0,0,0,0,0,0,1624,1494,1529,0,0,1298,1111,1588,1015,996,1638,1194,1577,1006,0,1612,1377,1513,0,0,1084,1121,1579,1014,925,1527,1082,1554,1002,0,1826,1806,"Casual, Federation, Starfleet, Human, Resourceful, Tribbled","male, dsc, organic, janitor, crew_max_rarity_2","Fah-thwump",2, 5, 4, 8, 8, , , , , , 410, 150, 135, 500, false,"Janitor",crew_portraits_cm_cabot_janitor_sm.png,dsc_cabot_janitor_crew, 22.2934, 49.187, 11.0134, 42.2883, 5, 0, 0, 0
"Underwear Larkin",0,4, 0,0,0,786,159,454,202,48,102,0,0,0,0,0,0,644,125,288,906,1542,0,0,786,496,659,932,92,1394,1686,605,0,549,862,518,1509,0,0,758,232,353,554,54,1354,1658,409,0,517,810,1465,1017,"Human, Starfleet, Federation, Geneticist, Exobiology, Tribbled, Maverick, Casual","male, organic, dsc, larkin, crew_max_rarity_4","Need Help?",2, 8, 8, 6, 8, , , , , , 450, 200, 168, 375, false,"Larkin",crew_portraits_cm_larkin_underwear_sm.png,larkin_underwear_crew, 50.4657, 39.4309, 12.1309, 49.8338, 5, 0, 0, 0
"Tribble Kirk",0,5, 1324,103,343,1019,87,276,581,54,119,0,0,0,0,0,0,0,0,0,39,244,404,697,262,145,543,800,415,1116,1421,960,0,0,0,208,639,835,1081,695,598,739,1084,595,1331,1641,1194,0,0,0,628,1421,"Human, Federation, Starfleet, Desperate, Tribbled","male, organic, tos, kirk, crew_max_rarity_5","Where Are The Tribbles",1, 9, 6, 6, 12, 1, 0, 2, , , 300, 100, 70, 450, false,"Kirk",crew_portraits_cm_kirk_tribble_sm.png,kirk_tribble_crew, 89.6973, 3.252, 46.964, 76.9366, 1, 0, 0, 0
"Dreamwalker Chakotay",0,5, 0,0,0,0,0,0,938,109,242,0,0,0,485,84,178,1259,162,393,0,963,0,1474,252,822,0,1336,239,775,376,15,1352,143,81,0,1123,0,1444,428,1015,0,1304,342,966,653,90,1307,254,164,797,1020,"Human, Maquis, Federation, Starfleet, Hunter, Spiritual, Duelist","male, organic, voy, chakotay, crew_max_rarity_5","I Know This Is a Dream",0, 9, 6, 8, 6, , , , 1, 3, 425, 255, 133, 525, false,"Chakotay",crew_portraits_cm_chakotay_dreamwalker_sm.png,chakotay_dreamwalker_crew, 82.9647, 6.3008, 18.2701, 74.4375, 1, 0, 0, 59.1549
"Tribble Spock",0,4, 672,80,250,908,159,353,0,0,0,0,0,0,333,74,170,0,0,0,170,1104,990,900,827,777,598,446,454,0,1618,0,1506,0,1294,181,1164,1084,837,935,645,465,345,388,0,1515,0,1351,0,1146,1255,1161,"Human, Vulcan, Starfleet, Federation, Exobiology, Astrophysicist, Musician, Telepath, Tribbled","male, nonhuman, organic, tos, spock, crew_max_rarity_4","A Most Curious Creature",2, 7, 12, 8, 10, 4, 0, , , , 425, 100, 73, 200, false,"Spock",crew_portraits_cm_spock_tribble_sm.png,spock_tribble_crew, 58.7505, 25.813, 49.0875, 58.0702, 4, 0, 0, 39.415
"Tribble Sulu",0,5, 1014,125,309,1280,219,535,0,0,0,0,0,0,462,74,152,0,0,0,25,821,666,463,504,269,232,165,153,0,1530,0,1402,0,1185,22,992,853,638,720,243,209,155,162,0,1558,0,1406,0,1190,564,440,"Human, Federation, Starfleet, Tribbled, Pilot, Diplomat, Explorer","male, organic, tos, original, sulu, crew_max_rarity_5","I'll Protect You",1, 7, 10, 10, 18, 2, 0, , , , 190, 155, 135, 40, false,"Sulu",crew_portraits_cm_tribble_sulu_sm.png,sulu_tribble_crew, 84.6333, 19.7154, 64.8699, 78.6817, 3, 0, 1, 19.74
"The Hansens",0,4, 0,0,0,852,150,410,0,0,0,655,99,304,0,0,0,0,0,0,867,0,971,0,0,819,152,905,475,917,0,0,1050,556,0,627,0,913,0,0,562,83,665,345,864,0,0,973,528,0,1592,1463,"Human, Starfleet, Federation, Exobiology, Innovator, Resourceful, Explorer","male, female, organic, voy, hansens, crew_max_rarity_4","It's Massive...",1, 7, 10, 8, 10, 8, 4, , , , 375, 200, 120, 190, false,"Hansens",crew_portraits_cm_hansens_sm.png,hansens_crew, 46.2359, 53.4553, 17.1912, 47.2801, 5, 0, 0, 0
"Tribble Chekov",0,5, 553,37,119,0,0,0,899,158,453,0,0,0,1246,158,349,0,0,0,1349,386,1287,284,1142,680,0,549,0,647,59,483,476,0,382,1563,453,1487,641,1351,428,0,754,0,448,88,305,695,0,547,742,845,"Federation, Starfleet, Human, Resourceful, Tactician, Tribbled, Playful","male, organic, tos, chekov, crew_max_rarity_5","He Won't Bite, Will He?",1, 10, 12, 10, 10, , , , , , 250, 150, 286, 300, false,"Chekov",crew_portraits_cm_chekov_tribble_sm.png,chekov_tribble_crew, 83.0035, 32.3171, 23.0318, 75.3818, 3, 0, 0, 0
"Tribble Sato",0,4, 382,76,156,646,100,198,0,0,0,0,0,0,811,242,342,0,0,0,654,1429,1382,652,1238,1017,783,283,612,0,1119,0,889,0,715,663,1386,1362,412,1211,1168,884,208,704,0,787,0,575,0,462,1308,1111,"Human, Starfleet, Explorer, Communicator, Linguist, Tribbled, Prodigy","female, organic, ent, sato, crew_max_rarity_4","Is It Dangerous?",1, 8, 6, 6, 8, , , , , , 265, 300, 95, 325, false,"Sato",crew_portraits_cm_sato_tribble_sm.png,sato_tribble_crew, 56.5774, 43.0894, 16.5742, 52.2437, 5, 0, 0, 0
"Bagman Odo",0,4, 380,190,399,0,0,0,604,298,636,0,0,0,250,159,313,0,0,0,1284,447,1233,1057,1081,871,0,1467,0,814,661,659,1465,0,1266,566,25,510,165,385,114,0,842,0,128,19,80,772,0,628,1482,62,"Changeling, Bajoran, Civilian, Costumed, Criminal, Desperate, Shapeshifter, Thief, Festive","male, organic, nonhuman, ds9, odo, crew_max_rarity_4","There's Nothing To It, Really",0, 8, 8, 8, 10, , , , , , 300, 200, 93, 490, false,"Odo",crew_portraits_cm_odo_bagman_sm.png,odo_bagman_crew, 37.9123, 39.8374, 15.9114, 52.952, 5, 2, 0, 19.2849
"Scapegoat O'Brien",0,5, 0,0,0,0,0,0,1039,145,328,608,66,196,1308,209,406,0,0,0,0,783,1102,637,0,614,825,444,0,163,25,411,91,642,283,0,870,1271,749,0,719,959,550,0,282,101,562,144,800,375,339,576,"Human, Starfleet, Federation, Civilian, Costumed, Gambler","male, organic, ds9, obrien, exclusive_collection, crew_max_rarity_5","Who, Me?",1, 9, 10, 12, 12, 0, 2, , , , 300, , 265, 150, false,"O'Brien",crew_portraits_cm_obrien_scapegoat_sm.png,obrien_scapegoat_crew, 90.9391, 22.9675, 20.2876, 83.2472, 2, 0, 0, 0
"Tribble Phlox",0,4, 0,0,0,831,166,304,0,0,0,0,0,0,329,68,186,562,124,262,922,0,0,1607,923,869,671,544,108,0,1617,844,1504,628,601,823,0,0,1461,801,761,540,369,110,0,1492,777,1325,547,309,1413,1120,"Denobulan, Starfleet, Physician, Inspiring, Exobiology, Tribbled, Civilian","male, organic, nonhuman, ent, phlox, crew_max_rarity_4","It Won't Bite",1, 6, 6, 8, 8, 6, 0, , , , 515, 350, 70, 100, true,"Phlox",crew_portraits_cm_phlox_tribble_sm.png,phlox_tribble_crew, 53.2208, 40.6504, 33.0694, 53.9621, 5, 0, 0, 0
"Kukulkan",0,5, 1239,182,419,0,0,0,1009,129,202,483,122,193,0,0,0,0,0,0,445,137,108,707,273,754,1028,0,0,216,1038,556,1319,826,0,519,275,107,754,336,1051,819,0,0,388,1320,873,1153,667,0,726,880,"Serpent, Artist, Cultural Figure, Inspiring, Brutal, Educator","nonhuman, organic, male, tas, kukulkan, crew_max_rarity_5","All of Your Kind Shall Perish!",0, 10, 6, 6, 8, , , , 2, 2, 530, 200, 117, 450, false,"Kukulkan",crew_portraits_cm_kukulkan_sm.png,kukulkan_crew, 83.5662, 55.4878, 19.8194, 74.7947, 6, 0, 0, 0
"Platonian Spock",0,5, 0,0,0,970,120,339,504,102,236,0,0,0,1238,248,453,0,0,0,759,1287,0,657,0,147,546,79,419,1114,141,959,406,0,316,874,1151,0,584,0,201,592,38,489,987,140,864,340,0,250,548,263,"Vulcan, Human, Telepath, Starfleet, Federation, Musician, Romantic, Telekinetic, Prisoner, Compromised","nonhuman, male, organic, tos, spock, crew_max_rarity_5","Take care, young ladies, and value your wine...",1, 8, 8, 8, 6, , , , , , 455, 130, 150, 450, false,"Spock",crew_portraits_cm_spock_platonian_sm.png,spock_platonian_crew, 83.6438, 22.561, 17.6507, 80.421, 3, 0, 0, 39.7833
"Dealer Data",0,5, 0,0,0,464,99,193,1006,91,246,1277,189,403,0,0,0,0,0,0,1385,888,392,0,0,162,104,1348,842,59,1039,557,432,140,0,1254,1155,511,0,0,407,124,1257,724,131,1316,867,528,220,0,713,940,"Federation, Starfleet, Android, Tactician, Gambler, Explorer","nonhuman, male, tng, artificial_life, data, crew_max_rarity_5","Is That What Is Known As A Poker Face?",2, 9, 8, 8, 10, 0, 1, 2, , , 425, 175, 198, 450, false,"Data",crew_portraits_cm_data_dealer_sm.png,data_dealer_crew, 84.2646, 21.9512, 23.0973, 76.1824, 3, 0, 0, 20.4984
"Spock and I-Chaya",0,5, 1233,264,442,0,0,0,481,78,136,0,0,0,0,0,0,1011,92,191,406,252,383,664,11,1346,0,0,451,1221,1517,77,0,375,664,319,282,296,549,50,1399,0,0,731,1270,1581,513,0,753,1061,746,962,"Vulcan, Human, Telepath, Starfleet, Federation, Caregiver, Survivalist, Resourceful, Primal","nonhuman, male, organic, tas, spock, crew_max_rarity_5","I-Chaya, Good Boy",2, 10, 8, 8, 8, , , , , , 365, 250, 100, 450, false,"Spock",crew_portraits_cm_spock_ichaya_sm.png,spock_ichaya_crew, 83.799, 67.0732, 14.4505, 81.1503, 6, 1, 0, 18.3749
